Name,Image Name,Images Folder
Secure Parking Abu Dhabi World Trade Center,secure_parking_abu_dhabi_world_trade_center.png,
Clymb Abu Dhabi Parking,Clymb_Abu_Dhabi_Parking.png,
Corniche Parking,corniche_parking.png,C:\ProgramData\GMAPExtractor\temp\415738d4-7eb2-44d8-8e11-bc5f2205cb85
Parking car,parking_car.png,C:\ProgramData\GMAPExtractor\temp\d9a9a37c-9f8f-4cf5-8cbe-a40d968d705a
Parking,parking_image.png,
Heritage Park West Parking,HeritageParkWestParking.png,C:\ProgramData\GMAPExtractor\temp\12cab914-584f-4b6d-969d-03bc7f39e6ef
Al Fay Car Park,Al_Fay_Car_Park.png,C:\ProgramData\GMAPExtractor\temp\b49e25de-b517-483e-8a0c-b4fab453fe6f
PAID PARKING AREA,paid_parking_area.png,
WTC Mall Car Park Entrance 1,WTC_Mall_Car_Park_Entrance_1.png,C:\ProgramData\GMAPExtractor\temp\aed52d50-5cf2-4b98-89ae-26cfd8779fcf
Breakwater Public Parking,Breakwater_Public_Parking.png,C:\ProgramData\GMAPExtractor\temp\8eedf4f5-d31f-47f6-b741-1e0adadaa97b
Abu Dhabi Business Hub Parking 2,abu_dhabi_business_hub_parking_2.png,C:\ProgramData\GMAPExtractor\temp\7ce9ea28-e890-4cfc-b84b-a2fa9402fe44
WTC Mall/Souq Car Park Entrance,WTC_Mall_Souq_Car_Park_Entrance.png,C:\ProgramData\GMAPExtractor\temp\3fb75381-a68d-4e8b-8e8d-c82056812d83
ADNEC Parking VIP Central Plaza,ADNEC_Parking_VIP_Central_Plaza.png,
Wtc parking,Wtc_parking.png,C:\ProgramData\GMAPExtractor\temp\3586fc8c-5666-40b3-8ff3-a719ed24843f
Heritage Park Main Parking,heritage_park_main_parking.png,C:\ProgramData\GMAPExtractor\temp\5e988f99-0a78-4b1b-881d-c5d982516318
Mushref Coop Parking,mushref_coop_parking.png,
311 Khalifa Bin Zayed The First St Parking,311_Khalifa_Bin_Zayed_The_First_St_Parking.png,C:\ProgramData\GMAPExtractor\temp\25c80b37-492e-4b71-81f7-6c4abbfac052
Car Parking,car_parking.png,
Marina Mall Parking,Marina_Mall_Parking.png,C:\ProgramData\GMAPExtractor\temp\1574007c-7851-4557-95a5-b800ef9f6773
Visitors Parking,visitors_parking.png,C:\ProgramData\GMAPExtractor\temp\968b8da0-4d37-4145-abb4-11aaf4f31354
Public Parking Mangroves Walking Trail,public_parking_mangroves_walking_trail.png,C:\ProgramData\GMAPExtractor\temp\e7706b2b-78e6-45b9-bb7d-de7191fb13fb
Underground parking,underground_parking.png,C:\ProgramData\GMAPExtractor\temp\3c5fa38e-7563-4399-b74d-5f764a98e1c4
ADNOC Car Park Visitors Entrance,ADNOC_Car_Park_Visitors_Entrance.png,C:\ProgramData\GMAPExtractor\temp\6f04d38e-6a92-422f-b344-ef43647b7f39
Yas Mall Luxury Car Parking,YasMallLuxuryCarParking.png,C:\ProgramData\GMAPExtractor\temp\519d8ad0-660b-466f-a19f-642075df6d6d
ADNEC Parking B,ADNEC_Parking_B.png,C:\ProgramData\GMAPExtractor\temp\a12833a1-3d5b-42f7-9b98-c6328a3c3e3a
Parking Space,parking_space.png,C:\ProgramData\GMAPExtractor\temp\65e82b24-ea16-4ce3-96f9-2d7510884caf
The Galleria,The_Galleria.png,C:\ProgramData\GMAPExtractor\temp\155de1e2-bd79-47ce-9cdb-2e14a1116286
المواقف الطابقية رقم 7,al-mawaqif-al-tabiqiya-rqm-7.png,C:\ProgramData\GMAPExtractor\temp\adcf79e4-a50b-41e5-b024-f1c5476bc5c7
Mamsha Car Parking,mamsha_car_parking.png,C:\ProgramData\GMAPExtractor\temp\7a11c87b-4d1a-429e-b4b9-10acc17add34
Khalifa Park Parking,khalifa_park_parking.png,C:\ProgramData\GMAPExtractor\temp\9eb0b7ec-762d-4682-9ecb-3b52ec27e484
"Shurfa ,Catch at St. Regis Parking",Shurfa_Catch_at_St_Regis_Parking.png,C:\ProgramData\GMAPExtractor\temp\004b5a09-e15f-4d8f-94ac-93e3e107b49b
Mawaqif Car Park No 6,mawaqif_car_park_no_6.png,C:\ProgramData\GMAPExtractor\temp\48b780e5-3dc4-4f45-a8ab-c4143de6b7b0
Burjeel Day Surgery Center Self Parking,BurjeelDaySurgeryCenterSelfParking.png,C:\ProgramData\GMAPExtractor\temp\b608d09d-18e1-4de1-a771-7786d8ebb7ab
6 Fatima Bint Mubarak St Parking,6_Fatima_Bint_Mubarak_St_Parking.png,C:\ProgramData\GMAPExtractor\temp\d4d62dbc-4d23-4291-9a81-8d20fd30ca58
ADNEC Parking C,ADNEC_Parking_C.png,C:\ProgramData\GMAPExtractor\temp\ee2952ef-ae39-49d9-8aa7-0cec22915e8b
parking,parking.png,
Sorbonne University Abu Dhabi underground parking,sorbonne_university_abu_dhabi_underground_parking.png,C:\ProgramData\GMAPExtractor\temp\d810a175-440d-4e5f-a5ac-9e1cfebf7a3b
Parking Lot,parking_lot.png,C:\ProgramData\GMAPExtractor\temp\3e412fe6-3dfd-495b-bf45-43af551e0890
Parking Area,parking_area.png,C:\ProgramData\GMAPExtractor\temp\9fd369da-8f55-46dc-8d50-bc6355a0920d
Parking lot,parking_lot.png,C:\ProgramData\GMAPExtractor\temp\0cdfaf3a-4087-41e5-991c-aee864e91e17
Mawaqif Parking ️ of Madinat Zayed,Mawaqif_Parking_Madinat_Zayed.png,C:\ProgramData\GMAPExtractor\temp\738dc75a-3cba-48fb-aed2-11ccbea27362
Al Bateen Parking,Al_Bateen_Parking.png,C:\ProgramData\GMAPExtractor\temp\2d727b65-9435-4740-a6c5-24b4647b72ed
New Fish Market Car Parking,new_fish_market_car_parking.png,
Parking.,parking.png,
