Name,Image Name,Images Folder
"Kachcha Parking, Ajman",kachcha_parking_ajman.png,C:\ProgramData\GMAPExtractor\temp\13ce2d42-ae49-4f3b-acae-b1da1ab4d6a6
"Parking Space, Ajman Central",ParkingSpace_AjmanCentral.png,C:\ProgramData\GMAPExtractor\temp\d39f2439-41b1-46c9-8730-122afbb03b27
Ajman Home,Ajman_Home.png,C:\ProgramData\GMAPExtractor\temp\99bbac1d-bf74-4c09-b198-9aca52ec83d6
City Centre Ajman,City_Centre_Ajman.png,C:\ProgramData\GMAPExtractor\temp\03593ffd-60cd-4196-9534-3665f629ad1c
Public Parking Under Construction,public_parking_under_construction.png,C:\ProgramData\GMAPExtractor\temp\04695b43-ee1e-4e59-b39d-f937356f7c12
3 St Parking,3_St_Parking.png,C:\ProgramData\GMAPExtractor\temp\f07201ee-f07d-4d5e-b755-79d06cc87b23
SPLASH CENTER Parking,SPLASH_CENTER_Parking.png,C:\ProgramData\GMAPExtractor\temp\e5595a4f-2dd7-4424-ba5b-fc41c48f0b1a
Ajman Bus Station ground parking.,Ajman_Bus_Station_ground_parking.png,
Parking bay,parking_bay.png,C:\ProgramData\GMAPExtractor\temp\72d4ef77-daea-43c1-9850-4ffcc858e01c
RMParkingshades,RMParkingshades.png,C:\ProgramData\GMAPExtractor\temp\471ebe55-7761-4b73-b439-10bc8e94ac21
Ajman corniche Parking opposite the KFC,ajman_corniche_parking_opposite_kfc.png,C:\ProgramData\GMAPExtractor\temp\398dd17e-67c7-44e5-adaf-5cdb9747293f
Washington Garage,washington_garage.png,C:\ProgramData\GMAPExtractor\temp\19a19c41-179f-43e2-9ce6-4def5305ebfb
Al kaff Garage,Al_kaff_Garage.png,C:\ProgramData\GMAPExtractor\temp\887596a7-f2ff-4775-b90a-c28bb8f2372b
Panoor Restaurant Parking,Panoor_Restaurant_Parking.png,C:\ProgramData\GMAPExtractor\temp\010f9d72-cf3a-4f6f-94e1-bb308d6d7141
Sheikh Rashid Bin Humeed St Parking,sheikh_rashid_bin_humeed_st_parking.png,C:\ProgramData\GMAPExtractor\temp\267f8df8-b83e-482f-883d-807a114f9cd0
Safeer mall parking,safeer_mall_parking.png,C:\ProgramData\GMAPExtractor\temp\de9a4f17-14a6-4dab-89d0-3762b9fc008f
Trablus Garage,Trablus_Garage.png,C:\ProgramData\GMAPExtractor\temp\1b0c706b-359d-4e7b-81cb-71e98a180418
Parking Area,parking_area.png,C:\ProgramData\GMAPExtractor\temp\8439d8a5-be68-4be8-a9c9-a01535edf0e0
AL THARA,AL_THARA.png,C:\ProgramData\GMAPExtractor\temp\ac493c9d-eda0-42a6-96b2-bea409f405c2
"Al Qurm Walk , Al Safiya Walkways and Park",Al_Qurm_Walk_Al_Safiya_Walkways_and_Park.png,C:\ProgramData\GMAPExtractor\temp\5bb72e3e-8e2d-4752-a8f4-91e6fe7b5c49
City Star Two Wheeler Garrige,city_star_two_wheeler_garage.png,C:\ProgramData\GMAPExtractor\temp\f01f99cd-2470-4b9d-a92f-21132d8a5de1
ajman boat parking,ajman_boat_parking.png,C:\ProgramData\GMAPExtractor\temp\99edb695-2e05-4d7d-bca7-4128f381f309
Al Ramadi Garage,Al_Ramadi_Garage.png,C:\ProgramData\GMAPExtractor\temp\5cbbf76f-070f-4465-a6cf-3ebb26265cc0
