Name,Image Name,Images Folder
SellAnyCar.com - Fujairah - City Centre,SellAnyCar.com_Fujairah_CityCentre.png,C:\ProgramData\GMAPExtractor\temp\22e7f052-abff-4bba-9c84-81645ba739d7
Umbrella Beach,umbrella_beach.png,C:\ProgramData\GMAPExtractor\temp\00904b43-06cc-4e67-ba4a-c16193518451
Labour camp,labour_camp.png,C:\ProgramData\GMAPExtractor\temp\bb75d4b5-bb7f-45a4-91b0-7a7e8c957607
Concord Hotel Parking Building,concord_hotel_parking_building.png,C:\ProgramData\GMAPExtractor\temp\222ebb37-7bf4-4af8-8b9f-cc8b5966a80a
Free Parking Area,free_parking_area.png,
Nawroz sayed car park rental llc,nawroz_sayed_car_park_rental_llc.png,C:\ProgramData\GMAPExtractor\temp\396b83bf-b2b4-4ada-adc2-bcf5040d63f7
Parkering mot Fujairah,parkering_mot_fujairah.png,
Flag park,flag_park.png,C:\ProgramData\GMAPExtractor\temp\854747ce-d657-45cf-9040-79624c696731
AFNIC Tower Fujairah,AFNIC_Tower_Fujairah.png,C:\ProgramData\GMAPExtractor\temp\3c815e3c-efaf-41fe-ad1e-1077fdb625ab
Fujairah Corniche,fujairah-corniche.png,C:\ProgramData\GMAPExtractor\temp\b338fb5b-13b7-4660-87e1-7d03fc1ae1a7
Fiaz car accessories,fiaz_car_accessories.png,C:\ProgramData\GMAPExtractor\temp\6a730c3e-ece8-43ca-9796-19666c28775e
Noor Taj Mahal Restaurant Fujairah,Noor_Taj_Mahal_Restaurant_Fujairah.png,C:\ProgramData\GMAPExtractor\temp\6a6d39c5-a302-4a25-afe5-fedbbea6ff28
The Media Park Convention Center,The_Media_Park_Convention_Center.png,C:\ProgramData\GMAPExtractor\temp\e29b7af3-f6c4-4ec3-ba4d-449d71605c51
Wadi Saham Hiking Car Park,wadi_saham_hiking_car_park.png,C:\ProgramData\GMAPExtractor\temp\27e5b5f5-8dac-45bf-8390-e1444af82aa9
Fujairah Bus Station,fujairah_bus_station.png,C:\ProgramData\GMAPExtractor\temp\a27649a8-a938-4de0-a9ff-4b50acb6d358
DoubleTree by Hilton Fujairah City,DoubleTree_by_Hilton_Fujairah_City.png,C:\ProgramData\GMAPExtractor\temp\893d251e-128c-41f7-bcf9-05ede0ddbee8
Parking trucks Fujairah Natural Resources Corporation,parking_trucks_fujairah_natural_resources_corporation.png,C:\ProgramData\GMAPExtractor\temp\a46282ab-fa7e-4a05-8577-984a9f44b12b
Fujairah Flag Pole,fujairah-flag-pole.png,C:\ProgramData\GMAPExtractor\temp\d12ff78d-c171-4b65-bcf3-5f7c37e6abbc
Dream Point Hotel Fujairah,dream_point_hotel_fujairah.png,C:\ProgramData\GMAPExtractor\temp\adc36637-5534-48de-aabc-07f70d892f50
Tesla Supercharger,tesla_supercharger.png,C:\ProgramData\GMAPExtractor\temp\6c5db55e-31af-427b-82c9-cd0ac0bd8e1e
Grand Outlet,Grand_Outlet.png,C:\ProgramData\GMAPExtractor\temp\6d1109f7-1f69-4baf-bd98-a6daf64248c0
Tesla Destination Charger,tesla_destination_charger.png,C:\ProgramData\GMAPExtractor\temp\01801650-b6b7-4738-9121-7fe13428696d
NBF Fujairah Run -Free Parking,NBF_Fujairah_Run_Free_Parking.png,C:\ProgramData\GMAPExtractor\temp\47e8da06-7d07-4281-b1da-4a4807c37abb
Madhab Park,Madhab_Park.png,C:\ProgramData\GMAPExtractor\temp\6bb84be8-dd47-4d13-8044-7950fee9860e
Fujairah Adventures Park,fujairah_adventures_park.png,C:\ProgramData\GMAPExtractor\temp\1200a690-c153-4a46-9a4a-5300de183d58
