Name,Image Name,Images Folder
RAK Hospital Parking,RAK_Hospital_Parking.png,
Naeem Mall Parking Entrance,naeem_mall_parking_entrance.png,C:\ProgramData\GMAPExtractor\temp\74daaa20-0607-4280-8b8a-7befdc68a251
Rak marathon parking,rak_marathon_parking.png,C:\ProgramData\GMAPExtractor\temp\af08d3ce-3b70-43fc-9eaa-ada8f02c6138
Free parking,free_parking.png,C:\ProgramData\GMAPExtractor\temp\10f20eb8-e66e-4a4b-bfda-02b0996bcf5f
RAK Exhibition Center Parking,RAK_Exhibition_Center_Parking.png,
Jebel Jais Top Car park,jebel-jais-top-car-park.png,C:\ProgramData\GMAPExtractor\temp\68284732-6113-41e8-b350-59cac2665d2d
Parking,parking_image.png,
RAS Al Khaimah Police G.HQ,Ras_Al_Khaimah_Police_GHQ.png,C:\ProgramData\GMAPExtractor\temp\c090fc46-5064-4a05-874a-1ee96cf70b01
American University of Ras Al Khaimah Parking Lot,American_University_of_Ras_Al_Khaimah_Parking_Lot.png,C:\ProgramData\GMAPExtractor\temp\1d3d12d0-538b-4b64-8759-038f47ecd481
Digdagga Rd Parking,Digdagga_Rd_Parking.png,
Moon Garage,moon_garage.png,C:\ProgramData\GMAPExtractor\temp\6626103d-f45d-4af7-94f5-a22a221875a9
Sheikh Mohammed Bin Salim Rd Parking,sheikh_mohammed_bin_salim_rd_parking.png,
Oman Rd Parking,Oman_Rd_Parking.png,
HCT - Ras Al Khaimah Women's College Parking 4,HCT_RAK_Womens_College_Parking_4.png,C:\ProgramData\GMAPExtractor\temp\4053fb22-9071-4bc3-99d0-1e0d4ae84420
Parking Area - Dhayah Fort,Parking_Area_Dhayah_Fort.png,C:\ProgramData\GMAPExtractor\temp\12e74fb4-4c92-4afa-8280-b4fd97a6d275
Saqr Park,SaqrPark.png,C:\ProgramData\GMAPExtractor\temp\ff1d9b7f-5d3b-47a6-bb89-3c9dd51d79a3
Stadium Parking,stadium_parking.png,
AL AHMED GARAGE,AL_AHMED_GARAGE.png,C:\ProgramData\GMAPExtractor\temp\6b0ca5e9-2680-4ad2-bd3b-8d6396e135ef
Port,port.png,
Sarvas garil,sarvas_garil.png,
Garage Raju,Garage_Raju.png,C:\ProgramData\GMAPExtractor\temp\5c6c3752-0385-4416-8988-31076081d84a
Madrid Garage LLC,MadridGarageLLC.png,C:\ProgramData\GMAPExtractor\temp\68c9458e-ae66-4dbe-8a95-c65152f70750
Alwahda Garage,Alwahda_Garage.png,C:\ProgramData\GMAPExtractor\temp\3b118ba2-7fb3-42f4-9c3d-08349bca2b23
Dino World,Dino_World.png,C:\ProgramData\GMAPExtractor\temp\8d706861-ee72-41f4-84a0-c5d1315f6df6
AL FAWARIS GARAGE,AL_FAWARIS_GARAGE.png,C:\ProgramData\GMAPExtractor\temp\c49ca125-ba3a-42b0-be41-64b9acf4fcc5
Car parking,car_parking.png,
Al Qawasim Corniche - Ras Al Khaimah Cornish,Al_Qawasim_Corniche_Ras_Al_Khaimah_Cornish.png,C:\ProgramData\GMAPExtractor\temp\c1138301-7523-440d-b9a6-37d5ba0c6853
Ras Al Khaimah International Airport,ras_al_khaimah_international_airport.png,C:\ProgramData\GMAPExtractor\temp\a67f6a42-ffff-4fc0-be16-9ac205df4deb
Al Ittihad Rd Parking,Al_Ittihad_Rd_Parking.png,C:\ProgramData\GMAPExtractor\temp\6fe39e73-2498-4ed8-bfbe-74ee8ae240a1
Vienna St Parking,Vienna_St_Parking.png,C:\ProgramData\GMAPExtractor\temp\8c363ca9-02e2-465a-b2f4-26492f7a67fb
