Name,Image Name,Images Folder
"Public Parking Department, Sharjah City Municipality",Public_Parking_Department_Sharjah_City_Municipality.png,C:\ProgramData\GMAPExtractor\temp\c0567402-c739-4a75-bec0-5467ab732f27
Paid Parking,paid_parking.png,C:\ProgramData\GMAPExtractor\temp\2c667aa4-3ea9-4cf5-9a18-5fd0b14456f3
Free Parking For Sharjah Expo Center,free_parking_sharjah_expo_center.png,C:\ProgramData\GMAPExtractor\temp\3a786990-5e5c-4ea7-914d-5478b03d56c0
Parking,parking_image.png,C:\ProgramData\GMAPExtractor\temp\6710a281-efe7-4ff7-a3db-ca8262b9938a
HCT- Sharjah Building A- Visitors' Car Park,HCT_Sharjah_Building_A_Visitors_Car_Park.png,C:\ProgramData\GMAPExtractor\temp\409afb25-34d0-4fee-b3a2-1b9a7eaf75c2
Expo Centre Sharjah Multi storey Parking,expo_centre_sharjah_multi_storey_parking.png,C:\ProgramData\GMAPExtractor\temp\f3c7c677-0afa-476d-889c-89beaa98619a
Car Parking Rental and Management Sharjah,Car_Parking_Rental_and_Management_Sharjah.png,C:\ProgramData\GMAPExtractor\temp\ae673487-7e1d-4e33-95d6-c240bcc524aa
Paid parking-Al Nud,Paid_parking-Al_Nud.png,C:\ProgramData\GMAPExtractor\temp\0caca17b-638e-4f01-9dd5-49b1e20d85c9
Golden Tulip Sharjah Parking,golden_tulip_sharjah_parking.png,C:\ProgramData\GMAPExtractor\temp\163ed9b3-9a47-43b6-b258-baaa3f4e9051
Mega Mall - Parking,Mega_Mall_Parking.png,C:\ProgramData\GMAPExtractor\temp\63386d77-4cf7-47c9-88b1-082715dcc60d
Car Parking موقف سيارات,Car_Parking_موقف_سيارات.png,C:\ProgramData\GMAPExtractor\temp\26bdc0d3-2439-4bde-ad71-8dd0a6fadd04
Green Parking,Green_Parking.png,C:\ProgramData\GMAPExtractor\temp\21dce432-b5d3-43e0-aece-c96255dfd913
Corniche Parking,Corniche_Parking.png,C:\ProgramData\GMAPExtractor\temp\f4b46674-a50a-4289-a2f6-fb565695d4ec
Sharjah Municipality Paid Parking Zone,Sharjah_Municipality_Paid_Parking_Zone.png,C:\ProgramData\GMAPExtractor\temp\5ae0499f-5d30-4673-87f5-e46f2e492418
Mosque Parking,mosque_parking.png,C:\ProgramData\GMAPExtractor\temp\c0793f21-b8c2-4e8c-b0ec-de114de0429a
Al SeyoUh Cars Parking,Al_SeyoUh_Cars_Parking.png,C:\ProgramData\GMAPExtractor\temp\15eba78d-c326-4613-9b5b-abca170a7bdd
Al Jehan Garage,Al_Jehan_Garage.png,
Emirates Post Parking Lot,emirates_post_parking_lot.png,C:\ProgramData\GMAPExtractor\temp\9fddb582-3755-42ab-b379-95a31e00112a
Um Al Tarafa Car parking Rental,um_al_tarafa_car_parking_rental.png,C:\ProgramData\GMAPExtractor\temp\b7305df6-33a3-4784-8914-fbf0dbc85448
iMall Parking,iMall_Parking.png,C:\ProgramData\GMAPExtractor\temp\e36cad03-7f41-4132-93be-23f11dfb6f38
Al Majaz Park P1,Al_Majaz_Park_P1.png,C:\ProgramData\GMAPExtractor\temp\4e2d1e2f-dadd-48bc-b310-3af3aff163d8
Mega mall - Parking,mega_mall_parking.png,C:\ProgramData\GMAPExtractor\temp\38735a44-665a-45fe-91a1-d54ecad9d130
Discount center parking,discount_center_parking.png,C:\ProgramData\GMAPExtractor\temp\5e3725e0-8421-4029-be8d-265adedbb2e0
Car Park,car_park.png,C:\ProgramData\GMAPExtractor\temp\8c134d66-c4c6-44a5-bf5d-dce8a37a3b49
Thumbay Parking,Thumbay_Parking.png,C:\ProgramData\GMAPExtractor\temp\ed8e6b69-8a88-4b6c-9549-7ee5344e1b64
Al Majaz Rental Parking,Al_Majaz_Rental_Parking.png,C:\ProgramData\GMAPExtractor\temp\d5869378-b74f-4189-9064-ed8afba44049
National paint parking,national_paint_parking.png,C:\ProgramData\GMAPExtractor\temp\d4e427ae-50b5-42c1-9de1-00da035b6d47
Nova Park Parking,nova_park_parking.png,C:\ProgramData\GMAPExtractor\temp\d47122e2-eceb-4583-9986-d85c0f7c300a
Golden Sands Hotel Parking,golden_sands_hotel_parking.png,C:\ProgramData\GMAPExtractor\temp\86d93468-8a61-442c-8302-bcb449740217
Car Parking,car_parking.png,C:\ProgramData\GMAPExtractor\temp\12d82a8c-f003-4278-a477-03a9a89a694c
Al Majaz Big Parking Area,Al_Majaz_Big_Parking_Area.png,C:\ProgramData\GMAPExtractor\temp\cf201467-9d2d-41ad-9088-bc5bf051baba
PAID PARKING,paid_parking.png,C:\ProgramData\GMAPExtractor\temp\5f89ffdd-3abd-457e-ad55-092868f403a4
Sharjah Air port taxi stand.,Sharjah_Airport_taxi_stand.png,C:\ProgramData\GMAPExtractor\temp\b43ec8cb-cb63-4645-8427-f39da2b70657
Al Natiq Car Parking,Al_Natiq_Car_Parking.png,C:\ProgramData\GMAPExtractor\temp\779ab246-98ec-4630-9fb4-12f79f700377
Zulekha Hospital Staff Parking,zulekha_hospital_staff_parking.png,C:\ProgramData\GMAPExtractor\temp\f8dfe33a-09d2-4231-bdc7-c2212de3c07c
Khan Private Parking AL Nahda Sharjah,Khan_Private_Parking_AL_Nahda_Sharjah.png,C:\ProgramData\GMAPExtractor\temp\7e3d8723-29cb-48eb-a034-9c350c2eaa92
Al Taawun St Parking,Al_Taawun_St_Parking.png,C:\ProgramData\GMAPExtractor\temp\d4db837e-5437-4655-bcf3-29754e597b74
Zulekha Hospital Doctor's Parking,Zulekha_Hospital_Doctors_Parking.png,C:\ProgramData\GMAPExtractor\temp\b049691f-dfc4-4787-a0eb-ef49a785e6d3
Paid parking,paid_parking.png,C:\ProgramData\GMAPExtractor\temp\170bfd5e-d0ce-414c-b599-d86895c94b41
RTA PARKING AREA ZONE -D,RTA_PARKING_AREA_ZONE-D.png,C:\ProgramData\GMAPExtractor\temp\e692fd4a-7c50-4772-a817-9d90302a3e12
Sharjah industrial area 5,sharjah_industrial_area_5.png,C:\ProgramData\GMAPExtractor\temp\064d34e2-65b4-4fbb-a411-91efa909e72e
VIP Racket Sharjah,VIP_Racket_Sharjah.png,C:\ProgramData\GMAPExtractor\temp\c5deef8b-1680-4c10-b913-16d90b6981a4
Nesto Parking,Nesto_Parking.png,C:\ProgramData\GMAPExtractor\temp\d5453050-2b89-4d87-8ec0-738edaa7cb6c
SEWA Car Parking,SEWA_Car_Parking.png,C:\ProgramData\GMAPExtractor\temp\474c5fd1-340c-4844-8c63-c8e2e33a4d5d
Sharjah Expo parking,Sharjah_Expo_parking.png,C:\ProgramData\GMAPExtractor\temp\458315b7-5054-4d00-87ff-3fd491c9a377
Paid Parking Al Nahda,paid_parking_al_nahda.png,C:\ProgramData\GMAPExtractor\temp\d1b5a351-69ac-49f2-87a9-afc91ce0ce5b
Al Ghazal Car Parking Rental,Al_Ghazal_Car_Parking_Rental.png,C:\ProgramData\GMAPExtractor\temp\fabb24b2-0525-4ca8-a05b-bcf7c72adaf3
Sharjah paid parking meter,sharjah_paid_parking_meter.png,C:\ProgramData\GMAPExtractor\temp\386824de-b58f-4148-a7cb-e2335a2a687d
Pathan Parking-1,Pathan_Parking-1.png,C:\ProgramData\GMAPExtractor\temp\09e0fa4b-7da0-4858-8da5-f46a8fa3441d
Private Parking,private_parking.png,C:\ProgramData\GMAPExtractor\temp\6b9e431c-f894-443b-8987-7ef19b916c4b
PARKING SAFEER MALL,PARKING_SAFEER_MALL.png,C:\ProgramData\GMAPExtractor\temp\0840a0b5-80fc-4890-924e-3d323f6a7387
Al faqeer tent Car parking shede,al_faqeer_tent_car_parking_shede.png,C:\ProgramData\GMAPExtractor\temp\12fe2b3b-8fb3-4a43-8c08-e4af688e793e
Paid Parking Area,paid_parking_area.png,C:\ProgramData\GMAPExtractor\temp\ec407fd8-cb71-4130-b4a0-468b2e7d0971
Najmat Al Nahda Car Parking Rental,najmat_al_nahda_car_parking_rental.png,C:\ProgramData\GMAPExtractor\temp\f279dea9-a43d-4cd6-9397-921fc7e11b93
"Buhaira corniche,Sharjah",buhaira_corniche_sharjah.png,C:\ProgramData\GMAPExtractor\temp\2ee7bd3d-a4ac-4148-8b2f-4b572544e89d
Parking lot,parking_lot.png,C:\ProgramData\GMAPExtractor\temp\9becaed7-a295-4d53-9742-f514c5d0e687
E88 Parking,E88_Parking.png,
Al Ittihad St Parking,al_ittihad_st_parking.png,C:\ProgramData\GMAPExtractor\temp\94eaab58-410c-4d67-b449-77b6729176fd
Sharjah Museum of Islamic Civilization Car parking,Sharjah_Museum_of_Islamic_Civilization_Car_parking.png,C:\ProgramData\GMAPExtractor\temp\7e1ae241-b8c9-492d-889b-31cf75963647
Paid Parking= Private,paid_parking_private.png,C:\ProgramData\GMAPExtractor\temp\8da9a3d4-c0f4-425d-a8b0-de44aad7b221
Parking Lot,parking_lot.png,C:\ProgramData\GMAPExtractor\temp\27f1ae95-a491-4a58-b7c2-a33c92a404a7
"Parking Near Liwa Pharmacy, Sharjah, Al Qasimia",Parking_Near_Liwa_Pharmacy_Sharjah_Al_Qasimia.png,C:\ProgramData\GMAPExtractor\temp\be521488-4917-4419-850b-50ad133e55d6
Mir Al Sahra - Cars Parking rental,Mir_Al_Sahra_Cars_Parking_rental.png,C:\ProgramData\GMAPExtractor\temp\eb440470-b272-4ba8-93e5-6d84cdfbbea9
Al Majaz Park P3,Al_Majaz_Park_P3.png,C:\ProgramData\GMAPExtractor\temp\67da1b9c-fd60-4fcb-9e57-a9187d599094
Archon Car Parking Rental,archon_car_parking_rental.png,C:\ProgramData\GMAPExtractor\temp\ba2bc3ff-0bd2-43a8-af42-f3e53d9286ff
Sharjah Auto Denting,Sharjah_Auto_Denting.png,C:\ProgramData\GMAPExtractor\temp\59bac5bd-616a-45c9-99d1-86c3cdf5819e
Paid Parking zone,Paid_Parking_zone.png,C:\ProgramData\GMAPExtractor\temp\10375443-a04a-4c9d-a385-2a307cfad532
Garaj,Garaj.png,C:\ProgramData\GMAPExtractor\temp\63217296-b378-47a9-9168-d14e9cb58d45
Centrepoint Car Park,centrepoint_car_park.png,C:\ProgramData\GMAPExtractor\temp\9f03e5fd-d13f-4a73-9bad-d1c00cebe357
Zulekha Hospital Sharjah Free Parking مستشفى زليخة,zulekha-hospital-sharjah-free-parking-mستشفى-زليخة.png,C:\ProgramData\GMAPExtractor\temp\2f993d83-32a3-4918-9c9c-78bbec045a2b
Rafee Garage Sharjah,Rafee_Garage_Sharjah.png,C:\ProgramData\GMAPExtractor\temp\5e894a43-0baf-4e5e-b45b-892411ef2b2f
shamsi5 Majaz2 Parking,shamsi5_Majaz2_Parking.png,C:\ProgramData\GMAPExtractor\temp\ed3eea4e-668c-4d95-abf7-22f90801f2a0
PAID PARKING AREA -241C,PAID_PARKING_AREA-241C.png,C:\ProgramData\GMAPExtractor\temp\2e0834a7-1d5b-4b3d-a37a-8a5145da4fc6
Al Farha Car Parking Rental,Al_Farha_Car_Parking_Rental.png,C:\ProgramData\GMAPExtractor\temp\f1de7884-b739-4e89-a872-c0042373bacf
Al Rolla Cars Parking Rental,Al_Rolla_Cars_Parking_Rental.png,C:\ProgramData\GMAPExtractor\temp\2e8990fb-f615-4a4d-8be1-684446705bcf
41 Al Nahda St Parking,41_Al_Nahda_St_Parking.png,C:\ProgramData\GMAPExtractor\temp\c50b9b61-c1bb-4885-b379-e8f16d71e3f4
Gold Centre Parking Lot,gold_centre_parking_lot.png,C:\ProgramData\GMAPExtractor\temp\cd2f3d0a-f885-461d-8fd1-d8c1b3c88789
Al Sharjah Garage,Al_Sharjah_Garage.png,C:\ProgramData\GMAPExtractor\temp\94eded07-c801-4684-99e0-785db34c71fb
Parking for Nesto Customers,parking-for-nesto-customers.png,C:\ProgramData\GMAPExtractor\temp\8ddc4b4c-85f2-4d17-8b5e-833b4c10a344
Khan Saheb Mosque Car Parking,Khan_Saheb_Mosque_Car_Parking.png,C:\ProgramData\GMAPExtractor\temp\4cf9865f-05d7-48e5-9a37-5ae6e9c2dd3d
Bukhara St Parking,Bukhara_St_Parking.png,C:\ProgramData\GMAPExtractor\temp\4536394e-5f64-4c21-837a-c66251a4355b
jasar,jasar.png,C:\ProgramData\GMAPExtractor\temp\13d903bd-4be8-4bdc-8761-8ff65b018542
Parking zone,parking_zone.png,C:\ProgramData\GMAPExtractor\temp\2c7ddb8a-226d-481e-8c6b-dcadf709765b
