Name,Image Name,Images Folder
Parking,parking_image.png,C:\ProgramData\GMAPExtractor\temp\955a86f3-bf53-4090-b994-6e2a55b1ca03
Al Ittihad St Parking,al_ittihad_st_parking.png,C:\ProgramData\GMAPExtractor\temp\fe217a6c-c79d-4691-9d8b-f5e288b28793
E11 Parking,E11_Parking.png,C:\ProgramData\GMAPExtractor\temp\444483db-24f7-4837-bbfd-3667de58bf8f
Al Shaoofh St Parking,Al-Shaoofh-St-Parking.png,C:\ProgramData\GMAPExtractor\temp\68810841-35fe-44f6-93d8-1d29968aa39e
Umm al Quawain Beach Kids Play Areas,Umm_al_Quawain_Beach_Kids_Play_Areas.png,C:\ProgramData\GMAPExtractor\temp\7b2d9b12-3b94-4ed5-a9ce-f6dd52d56112
Arbab ribhi,Arbab_ribhi.png,C:\ProgramData\GMAPExtractor\temp\87f74972-a3a1-4d53-a114-babad1546b8b
Sheikh Zayed Bin Sultan Al Nahyan Park,sheikh-zayed-park.png,C:\ProgramData\GMAPExtractor\temp\835bc466-0e96-467a-be14-80edb4fd101d
"Salamah Park, Umm Al Quwain",Salamah_Park_Umm_Al_Quwain.png,C:\ProgramData\GMAPExtractor\temp\b8377072-3685-488d-98f3-4fff9aa4b215
Corniche Umm Al Quwain,corniche-umm-al-quwain.png,C:\ProgramData\GMAPExtractor\temp\cec177d9-ebd2-4cd9-9b15-8e4e77039717
Umm Al Quwain- Beach,Umm_Al_Quwain_Beach.png,C:\ProgramData\GMAPExtractor\temp\0bed2400-9964-49c2-b8f8-17f6d6cb271b
Mangrove Beach,mangrove_beach.png,C:\ProgramData\GMAPExtractor\temp\32f5d45a-8f38-418b-90bc-d65d6ed80ac9
UAQ Beach Side,UAQ_Beach_Side.png,C:\ProgramData\GMAPExtractor\temp\551bfee3-d210-45ef-a48f-5d9bff69901d
UAQ Marine Club,UAQ_Marine_Club.png,C:\ProgramData\GMAPExtractor\temp\91224887-a8a8-4cd4-a8dd-f8e68e8dc2c0
Umm Al Quwain Traffic Police,Umm_Al_Quwain_Traffic_Police.png,C:\ProgramData\GMAPExtractor\temp\9ab863c4-5203-4121-8d82-00889e5daebe
Car Parking,car_parking.png,
Dreamland Aqua Park,dreamland_aqua_park.png,C:\ProgramData\GMAPExtractor\temp\9ce71be9-eb8a-4645-9099-95f5d5e38a99
The Zoo Wild Life Park Umm Al Quwain,the-zoo-wild-life-park-umm-al-quwain.png,C:\ProgramData\GMAPExtractor\temp\74148c28-e382-4d4e-bdbd-07e48b801fd6
Parking lot,parking_lot.png,
"Sam Shad Productions car parking shed wall fancy, iron leadr and much more.",sam_shad_productions_car_parking_shed_wall_fancy_iron_leadr.png,C:\ProgramData\GMAPExtractor\temp\f61b2f19-d3ea-4318-b3aa-e7ae9c6a76ed
